,x
1,9.22E-05
2,0.000782
3,-0.00165
4,0.000271
5,6.24E-05
6,-0.00206
7,0.001952
8,-0.00179
9,0.000369
10,-0.00292
11,0.000593
12,-0.00093
13,-0.00012
14,-0.00085
15,0.001233
16,-0.00156
17,0.000718
18,-0.00261
19,0.001864
20,-0.00126
21,0.001318
22,0.000537
23,0.001026
24,0.000119
25,0.002638
26,-0.00253
27,0.001841
28,-0.00135
29,0.002311
30,-0.00078
31,0.002371
32,-0.00178
33,0.000577
34,-0.0007
35,0.000226
36,-0.00162
37,0.003009
38,-0.00266
39,0.000941
40,-0.00325
41,0.001821
42,-0.0027
43,0.002161
44,-2.70E-05
45,-0.00101
46,0.003671
47,-0.00413
48,-5.90E-05
49,-0.0003
50,-0.00066
51,-0.00045
52,0.000258
53,-0.00027
54,-0.00107
55,-0.0006
56,0.00163
57,-0.00364
58,0.001987
59,-0.00059
60,-0.00068
61,-0.00129
62,-0.00132
63,-0.00139
64,-0.00037
65,0.000446
66,0.001385
67,-0.00101
68,0.00285
69,-0.0023
70,0.001908
71,-0.00012
72,0.002106
73,0.00176
74,-0.00363
75,0.003866
76,-0.00242
77,0.001444
78,-0.00279
79,-0.00204
80,0.000569
81,-0.00111
82,0.00092
83,-0.00091
84,0.000896
85,0.001227
86,-0.00288
87,-9.10E-05
88,-0.0004
89,-0.0004
90,0.002282
91,-0.00311
92,0.00105
93,-0.00045
94,0.00082
95,0.002595
96,0.00192
97,0.000389
98,-3.90E-05
99,0.001691
100,-0.00315
101,0.001083
102,-0.00058
103,0.000736
104,-0.00043
105,0.001589
106,-0.00111
107,-0.00091
108,-0.00106
109,-0.00052
110,0.000232
111,-0.00086
112,0.00243
113,-0.00166
114,0.001814
115,-0.0017
116,0.001074
117,0.000284
118,0.00066
119,0.000943
120,-0.00254
121,0.002024
122,-0.0012
123,0.002235
124,-0.00062
125,-0.00131
126,0.00237
127,-0.00131
128,0.00046
129,-0.00315
130,0.002448
131,-0.00199
132,0.000307
133,0.000345
134,-0.00175
135,0.001224
136,-0.0012
137,0.002918
138,-0.00126
139,0.000587
140,-0.00114
141,0.000645
142,-0.00129
143,0.000633
144,-0.00103
145,0.003873
146,-0.00136
147,0.00376
148,-0.00347
149,0.001121
150,0.000624
151,-0.00084
152,0.001395
153,-0.00231
154,0.002303
155,-0.00148
156,0.001602
157,-0.0007
158,-0.00017
159,-0.00165
160,0.001728
161,-0.0013
162,0.000571
163,-0.00086
164,0.001869
165,0.000573
166,0.00233
167,-0.00241
168,0.001906
169,-0.00107
170,-0.00169
171,0.001047
172,0.001508
173,-0.00185
174,0.000625
175,0.000392
176,-5.50E-05
177,-0.00034
178,-0.00048
179,0.000571
180,0.000624
181,0.000827
182,-0.00078
183,1.08E-05
184,-0.00138
185,0.001406
186,-0.00085
187,0.002133
188,-0.00304
189,0.000919
190,-0.00028
191,0.000394
192,-0.00015
193,0.00294
194,-0.00077
195,0.002325
196,-0.00086
197,0.003998
198,-0.00314
199,0.002673
200,-0.00179
201,7.30E-05
202,-0.0018
203,-0.00025
204,-0.00053
205,0.00328
206,-0.00312
207,0.002584
208,-0.00167
209,0.000972
210,-0.00343
211,0.000982
212,-0.00259
213,0.004732
214,-0.0022
215,0.00286
216,-0.00331
217,0.001289
218,0.001337
219,0.000838
220,-7.00E-07
221,0.00035
222,0.001112
223,-0.00066
224,0.001728
225,-0.00123
226,0.000999
227,0.000142
228,-0.0002
229,0.001037
230,-0.00059
231,-0.00035
232,-4.00E-05
233,-0.00133
234,0.001425
235,3.69E-05
236,-0.00081
237,0.001429
238,0.000505
239,0.000229
240,-0.00222
241,8.76E-05
242,2.32E-06
243,0.001689
244,0.000407
245,-0.00111
246,-5.50E-05
247,0.000221
248,0.001317
249,-0.00397
250,0.003052
251,-0.00593
252,1.48E-06
253,-0.00045
254,0.001747
255,-0.0022
256,0.003014
257,-0.00189
258,0.000159
259,-0.00122
260,-0.00077
261,-0.00035
262,0.001153
263,-0.00086
264,0.002007
265,-0.00221
266,0.001935
267,-0.00195
268,0.001688
269,-0.00029
270,0.000919
271,-0.00294
272,0.002774
273,-0.0016
274,0.001656
275,-0.00124
276,0.001239
